# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
*MtCM	Rv1885c	Rv1885c	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	1
35kd_ag	Rv2744c	Rv2744c	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0
P55	Rv1410c	Rv1410c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PE1	Rv0151c	Rv0151c	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1
PE12	Rv1172c	Rv1172c	protein_coding	0	0	1	4	0	0	0	0	1	0	1	0	0	0	0	0	0	3
PE13	Rv1195	Rv1195	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PE15	Rv1386	Rv1386	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PE16	Rv1430	Rv1430	protein_coding	0	0	0	6	0	0	0	0	5	0	0	0	0	0	0	0	0	1
PE17	Rv1646	Rv1646	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
PE18	Rv1788	Rv1788	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
PE19	Rv1791	Rv1791	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PE2	Rv0152c	Rv0152c	protein_coding	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0
PE20	Rv1806	Rv1806	protein_coding	0	0	0	6	0	0	0	0	5	0	0	0	0	0	0	0	0	1
PE22	Rv2107	Rv2107	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
PE23	Rv2328	Rv2328	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
PE24	Rv2408	Rv2408	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3
PE27	Rv2769c	Rv2769c	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
PE29	Rv3022A	Rv3022A	protein_coding	0	0	0	15	0	0	0	0	14	0	0	0	0	0	0	0	0	1
PE3	Rv0159c	Rv0159c	protein_coding	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
PE31	Rv3477	Rv3477	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	2
PE32	Rv3622c	Rv3622c	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PE33	Rv3650	Rv3650	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PE34	Rv3746c	Rv3746c	protein_coding	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	3
PE35	Rv3872	Rv3872	protein_coding	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0
PE36	Rv3893c	Rv3893c	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1
PE4	Rv0160c	Rv0160c	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1
PE5	Rv0285	Rv0285	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
PE6	Rv0335c	Rv0335c	protein_coding	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	4
PE7	Rv0916c	Rv0916c	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
PE8	Rv1040c	Rv1040c	protein_coding	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	3
PE9	Rv1088	Rv1088	protein_coding	0	0	0	12	0	0	0	0	6	0	0	0	0	0	0	0	0	6
PE_PGRS1	Rv0109	Rv0109	protein_coding	0	1	1	2	0	0	0	0	1	0	1	0	0	0	0	0	1	1
PE_PGRS10	Rv0747	Rv0747	protein_coding	0	6	7	11	0	0	0	0	1	0	7	0	0	0	0	0	6	10
PE_PGRS11	Rv0754	Rv0754	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1
PE_PGRS12	Rv0832	Rv0832	protein_coding	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	1
PE_PGRS13	Rv0833	Rv0833	protein_coding	1	1	2	2	0	0	0	0	1	1	2	0	0	0	0	0	1	1
PE_PGRS14	Rv0834c	Rv0834c	protein_coding	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	1
PE_PGRS15	Rv0872c	Rv0872c	protein_coding	0	0	2	8	0	1	0	0	5	0	1	0	0	0	0	0	0	3
PE_PGRS16	Rv0977	Rv0977	protein_coding	0	1	3	8	0	0	0	0	7	0	3	0	0	0	0	0	1	1
PE_PGRS17	Rv0978c	Rv0978c	protein_coding	0	2	0	9	0	0	0	0	4	0	0	0	0	0	0	0	2	5
PE_PGRS18	Rv0980c	Rv0980c	protein_coding	0	1	3	8	0	1	0	0	6	0	2	0	0	0	0	0	1	2
PE_PGRS19	Rv1067c	Rv1067c	protein_coding	0	0	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	1
PE_PGRS2	Rv0124	Rv0124	protein_coding	0	0	1	3	0	0	0	0	2	0	1	0	0	0	0	0	0	1
PE_PGRS20	Rv1068c	Rv1068c	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1
PE_PGRS21	Rv1087	Rv1087	protein_coding	0	3	3	6	0	0	1	0	6	0	2	0	0	0	0	0	3	0
PE_PGRS22	Rv1091	Rv1091	protein_coding	0	1	5	7	0	0	0	0	1	0	5	0	0	0	0	0	1	6
PE_PGRS23	Rv1243c	Rv1243c	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
PE_PGRS24	Rv1325c	Rv1325c	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
PE_PGRS25	Rv1396c	Rv1396c	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PE_PGRS26	Rv1441c	Rv1441c	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PE_PGRS27	Rv1450c	Rv1450c	protein_coding	1	0	2	25	0	0	0	0	2	1	2	0	0	0	0	0	0	23
PE_PGRS28	Rv1452c	Rv1452c	protein_coding	0	11	11	4	0	0	0	0	2	0	11	0	0	0	0	0	11	2
PE_PGRS29	Rv1468c	Rv1468c	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
PE_PGRS30	Rv1651c	Rv1651c	protein_coding	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
PE_PGRS31	Rv1768	Rv1768	protein_coding	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0
PE_PGRS32	Rv1803c	Rv1803c	protein_coding	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	3
PE_PGRS33	Rv1818c	Rv1818c	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
PE_PGRS34	Rv1840c	Rv1840c	protein_coding	0	1	2	1	0	0	0	0	0	0	2	0	0	0	0	0	1	1
PE_PGRS35	Rv1983	Rv1983	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
PE_PGRS37	Rv2126c	Rv2126c	protein_coding	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	1
PE_PGRS38	Rv2162c	Rv2162c	protein_coding	0	1	1	3	1	0	0	0	1	0	0	0	0	0	0	0	1	2
PE_PGRS4	Rv0279c	Rv0279c	protein_coding	0	11	9	28	1	0	0	0	26	0	8	1	0	0	0	1	10	2
PE_PGRS40	Rv2371	Rv2371	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
PE_PGRS41	Rv2396	Rv2396	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PE_PGRS42	Rv2487c	Rv2487c	protein_coding	0	1	0	3	0	0	0	0	2	0	0	0	0	0	0	0	1	1
PE_PGRS43	Rv2490c	Rv2490c	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
PE_PGRS44	Rv2591	Rv2591	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
PE_PGRS45	Rv2615c	Rv2615c	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
PE_PGRS46	Rv2634c	Rv2634c	protein_coding	0	0	3	1	1	0	0	0	0	0	2	0	0	0	0	0	0	1
PE_PGRS47	Rv2741	Rv2741	protein_coding	0	2	2	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0
PE_PGRS48	Rv2853	Rv2853	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PE_PGRS49	Rv3344c	Rv3344c	protein_coding	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	3
PE_PGRS5	Rv0297	Rv0297	protein_coding	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
PE_PGRS50	Rv3345c	Rv3345c	protein_coding	0	2	1	3	0	0	0	0	2	0	1	0	0	0	0	0	2	1
PE_PGRS51	Rv3367	Rv3367	protein_coding	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
PE_PGRS52	Rv3388	Rv3388	protein_coding	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1
PE_PGRS53	Rv3507	Rv3507	protein_coding	0	0	2	8	0	0	0	2	5	0	0	0	0	0	0	0	0	3
